objectid,title,type,date,creator,is_part_of,trove_url,source_url,description,subject,location,latitude,longitude,filename,format,pages
work-153923228,"Cartoon of meteorologist, Clement Wragge, 1906",Art work,1906,Unidentified,,https://trove.nla.gov.au/work/153923228,http://hdl.handle.net/10462/deriv/130356,,rain-making equipment; watering cans; cartoons,,,,work-153923228.jpg,image/jpeg,
work-153919175,"Meteorologist, Clement Wragge, at home in his tropical garden at Taringa, Brisbane, ca. 1902",Photograph,1902,Unidentified,,https://trove.nla.gov.au/work/153919175,http://hdl.handle.net/10462/deriv/133685,,"u-at-qn; gardens; Taringa (Brisbane, Qld.)",Taringa,-27.4927,152.9844,work-153919175.jpg,image/jpeg,
work-192577925,Wragges Observatory 1897,Photograph,1897,graham scully,,https://trove.nla.gov.au/work/192577925,https://www.flickr.com/photos/34925962@N03/3314783333,,1897-12-01 00:00:00; kosciusko; meterology,,,,work-192577925.jpg,image/jpeg,
work-81015890,"The first observatory on Kosciuszko, Snowy Mountains, New South Wales, ca. 1897 / Charles Kerry",Photograph,1880-1910,"Kerry, Charles H. (Charles Henry), 1857-1928",,https://trove.nla.gov.au/work/81015890,http://nla.gov.au/nla.obj-138928148,,"Meteorological stations -- New South Wales -- Kosciuszko, Mount -- Photographs.; Kosciuszko, Mount (N.S.W.) -- Photographs.; Meteorologists -- New South Wales -- Kosciuszko, Mount -- Photographs.","Mount Kosciuszko",-36.455833,148.263611,work-81015890.jpg,image/jpeg,
article-162833980,Clement Wragge at Home.,Newspaper article,1894-09-08,,"<a href=""http://nla.gov.au/nla.news-title698"">The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912)</a>",http://nla.gov.au/nla.news-article162833980,,,"A detailed description of him home ""Capemba""; Clement Wragge; Meteorology; Naming of storms",,,,nla.news-article162833980-16636766.jpg,image/jpeg,491
article-145708725,Mr. Clement Wragge.,Newspaper article,1902-11-20,,"<a href=""http://nla.gov.au/nla.news-title713"">Table Talk (Melbourne, Vic. : 1885 - 1939)</a>",http://nla.gov.au/nla.news-article145708725,,,Meteorology; Photograph of Clement Wragge,,,,nla.news-article145708725-17382406.jpg,image/jpeg,13
article-87517976,MR. CLEMENT WRAGGE. DEATH IN NEW ZEALAND,Newspaper article,1922-12-16,,"<a href=""http://nla.gov.au/nla.news-title291"">Chronicle (Adelaide, SA : 1895 - 1954)</a>",http://nla.gov.au/nla.news-article87517976,,,Obit John Robbins 1922,,,,nla.news-article87517976-8605082.jpg,image/jpeg,37
work-9958833,Experiences of a meteorologist in South Australia / Clement L. Wragge,Book/Illustrated;Book,1980,"Wragge, Clement L. (Clement Lindley), 1852-1922",,https://trove.nla.gov.au/work/9958833,,,"South Australia -- Climate -- History.; South Australia -- Description and travel.; South Australia. Climate, 1883-1884.",,,,,,
article-221344158,WRAGGE,Newspaper article,1903-12-01,,"<a href=""http://nla.gov.au/nla.news-title1177"">Crookwell Gazette (NSW : 1885 - 1954)</a>",http://nla.gov.au/nla.news-article221344158,,,,,,,nla.news-article221344158-24398314.jpg,image/jpeg,4
work-208456887,Clement Lindley Wragge,Photograph,1880,,,https://trove.nla.gov.au/work/208456887,https://collections.slsa.sa.gov.au/resource/B+9825,,"Wragge, Clement L. (Clement Lindley), 1852-1922; c. 1880",,,,work-208456887.jpg,image/jpeg,
article-83156754,"""WRAGGE.""",Newspaper article,1903-02-05,,"<a href=""http://nla.gov.au/nla.news-title275"">The Daily News (Perth, WA : 1882 - 1955)</a>",http://nla.gov.au/nla.news-article83156754,,,Clement Wragge's Meteorological Periodical,,,,nla.news-article83156754-8005225.jpg,image/jpeg,3
article-70068753,'WRAGGE.',Newspaper article,1903-02-07,,"<a href=""http://nla.gov.au/nla.news-title202"">The Sunbury News (Vic. : 1900 - 1927</a>",http://nla.gov.au/nla.news-article70068753,,,Meteorology Journal - Clement Wragge,,,,nla.news-article70068753-7013947.jpg,image/jpeg,4
article-76672882,THE POLITICAL STIGER YORTEX.,Newspaper article,1901-10-12,,"<a href=""http://nla.gov.au/nla.news-title274"">The Charleville Times (Brisbane, Qld. : 1896 - 1954)</a>",http://nla.gov.au/nla.news-article76672882,,,,,,,nla.news-article76672882-7549405.jpg,image/jpeg,4
article-135348864,WRAGGE.,Newspaper article,1902-04-10,,"<a href=""http://nla.gov.au/nla.news-title356"">Newcastle Morning Herald and Miners' Advocate (NSW : 1876 - 1954)</a>",http://nla.gov.au/nla.news-article135348864,,,,,,,nla.news-article135348864-10253102.jpg,image/jpeg,4
work-232924641,“THE ROMANCE OF ROMANCES.” ANCIENT SOUTH SEA CIVILISATION. WHAT OF LEMURIA? MR. CLEMENT WRAGGE’S RESEARCHES. (2 October 1911),Article/Journal or magazine article;Article,1911,Royal Anthropological Society of Australasia;  ,Science of man and journal of the Royal Anthropological Society of Australasia.,https://trove.nla.gov.au/work/232924641,https://nla.gov.au/nla.obj-531632477,,Anthropology--Periodicals.,,,,work-232924641.jpg,image/jpeg,
work-233452785,"CLEMENT L. WRAGGE, F.R.G.S., F.R. MET. SOC., F.R.C.I., etc. SOME REMINISCENCES OF AN EVENTFUL LIFE. (17 November 1921)",Article/Journal or magazine article;Article,1921,,The bulletin.,https://trove.nla.gov.au/work/233452785,https://nla.gov.au/nla.obj-634669160,,Australian newspapers--New South Wales--Sydney.; Australia New South Wales; u-at-ne,,,,work-233452785.jpg,image/jpeg,
